PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
5033;-2.908549;10.478815;-1.162272;0.242448;0.209142;1.119525;0.202917;0.368104;0.435728;0.577148;-0.751465;0.342041;0.648358;0.637146;0.384039;0.161834;POINTING
5034;-2.609915;10.191686;-1.162332;0.354438;0.312602;0.761316;0.154502;0.381573;0.424532;0.553955;-0.75415;0.349854;0.646803;0.638147;0.38404;0.164097;POINTING
5035;-2.516119;9.813196;-1.160963;0.290245;0.286478;0.376081;0.054772;0.413155;0.396497;0.556641;-0.753418;0.352539;0.64551;0.638738;0.384153;0.166606;POINTING
5036;-2.718998;9.697444;-1.247353;0.029732;0.174906;0.334115;-0.036495;0.451196;0.395589;0.545898;-0.756836;0.354736;0.644436;0.63899;0.384322;0.169381;POINTING
5037;-3.002867;9.377275;-1.121294;-0.215652;-0.17034;0.093476;-0.045834;0.462056;0.439939;0.548096;-0.76001;0.352051;0.643323;0.639287;0.384363;0.172376;POINTING
5038;-3.163375;9.083624;-1.092092;-0.422652;-0.363614;-0.14828;0.038422;0.424871;0.44771;0.538086;-0.77002;0.353516;0.642006;0.639893;0.384333;0.175082;POINTING
5039;-3.110668;8.781184;-0.935246;-0.390609;-0.519538;-0.472588;0.126213;0.337917;0.424453;0.536865;-0.767334;0.361816;0.640582;0.640809;0.384167;0.177296;POINTING
5040;-2.882516;8.577257;-0.767163;-0.188688;-0.559986;-0.750821;0.24212;0.267978;0.36282;0.529785;-0.772461;0.368164;0.63898;0.642032;0.384081;0.178835;POINTING
5041;-2.703774;8.715758;-0.77293;-0.031753;-0.472868;-0.666788;0.323612;0.217922;0.333558;0.533447;-0.766357;0.365967;0.637226;0.643503;0.383993;0.179992;POINTING
5042;-2.669226;8.999374;-0.816823;0.040297;-0.441268;-0.40077;0.326786;0.166934;0.344193;0.522217;-0.766602;0.368652;0.635553;0.645041;0.383718;0.180981;POINTING
5043;-2.621691;9.200484;-0.937185;0.045418;-0.350676;-0.206685;0.267486;0.138014;0.370782;0.519287;-0.769531;0.373047;0.634092;0.64647;0.3832;0.182105;POINTING
5044;-2.678375;9.326405;-0.954814;0.016928;-0.408861;-0.071046;0.214794;0.112603;0.383354;0.512695;-0.770752;0.37085;0.632843;0.647768;0.382521;0.183259;POINTING
5045;-2.716261;9.533032;-1.043744;-0.025265;-0.392708;0.14679;0.175981;0.079142;0.343733;0.512939;-0.77124;0.378662;0.631809;0.648902;0.381817;0.18428;POINTING
5046;-2.622359;9.472134;-0.949147;0.073614;-0.437355;0.0515;0.115427;0.068051;0.269872;0.508057;-0.774658;0.378418;0.631068;0.649703;0.381273;0.185122;POINTING
5047;-2.402784;9.288834;-0.954654;0.165259;-0.320573;-0.177488;0.023966;0.056244;0.187931;0.508301;-0.774658;0.374023;0.630712;0.650078;0.38086;0.185866;POINTING
5048;-2.180205;9.116151;-1.098794;0.171304;-0.083378;-0.377194;-0.106454;0.033083;0.1242;0.502197;-0.774414;0.375;0.630894;0.649932;0.380471;0.186557;POINTING
5049;-2.159099;8.963572;-1.161249;0.08817;-0.028324;-0.520366;-0.197546;0.009208;0.092958;0.502441;-0.779297;0.376465;0.631435;0.64947;0.380012;0.18727;POINTING
5050;-2.287615;8.882559;-1.128671;-0.022332;-0.134285;-0.572105;-0.198238;-0.004518;0.092483;0.497803;-0.785156;0.378662;0.632011;0.649006;0.379526;0.18792;POINTING
5051;-2.329761;8.916548;-1.156711;-0.079205;-0.131495;-0.525761;-0.175372;-0.010736;0.076907;0.506348;-0.773682;0.376465;0.632531;0.6486;0.379076;0.188475;POINTING
